aX,aY,aZ,gX,gY,gZ
0.865,-0.397,-0.224,-2.380,-1.465,7.568
0.872,-0.380,-0.226,-3.479,-1.648,7.263
0.878,-0.365,-0.220,-3.601,-2.014,6.592
0.883,-0.365,-0.216,-2.625,-2.197,6.287
0.891,-0.364,-0.206,-1.465,-2.136,6.104
0.884,-0.374,-0.207,-1.099,-1.709,6.104
0.886,-0.372,-0.207,-1.770,-1.282,5.493
0.889,-0.372,-0.209,-2.441,-0.977,4.639
0.893,-0.372,-0.213,-2.747,-0.549,3.906
0.892,-0.381,-0.212,-2.808,-0.488,3.418
0.895,-0.387,-0.212,-2.625,-0.488,3.052
0.895,-0.386,-0.212,-3.113,-0.793,2.930
0.891,-0.391,-0.207,-3.479,-0.854,2.808
0.885,-0.394,-0.206,-3.662,-0.488,2.869
0.885,-0.398,-0.209,-4.089,0.183,3.113
0.883,-0.406,-0.213,-4.395,0.854,3.418
0.883,-0.409,-0.222,-4.578,1.404,3.723
0.883,-0.411,-0.229,-4.822,1.587,3.906
0.883,-0.421,-0.235,-4.639,1.526,4.639
0.886,-0.425,-0.237,-4.517,1.160,5.127
0.881,-0.425,-0.239,-4.822,0.488,6.104
0.882,-0.419,-0.238,-4.578,-0.244,7.019
0.878,-0.416,-0.226,-3.784,-0.732,8.057
0.873,-0.413,-0.214,-3.906,-1.038,8.728
0.881,-0.413,-0.206,-4.761,-0.610,9.277
0.893,-0.423,-0.194,-6.348,0.000,9.644
0.883,-0.423,-0.192,-9.583,1.160,10.559
0.883,-0.399,-0.199,-12.939,2.258,11.719
0.892,-0.384,-0.198,-14.587,3.235,12.512
0.891,-0.374,-0.193,-15.320,3.906,13.000

0.440,-1.508,-0.652,36.926,1.099,37.598
0.390,-1.580,-0.672,39.673,-8.362,57.068
0.356,-1.605,-0.685,40.955,-19.287,77.393
0.312,-1.607,-0.701,43.274,-31.921,99.060
0.273,-1.603,-0.705,48.828,-44.800,122.559
0.240,-1.527,-0.674,56.824,-59.265,148.132
0.221,-1.460,-0.611,69.763,-73.608,174.255
0.208,-1.425,-0.538,82.764,-84.778,202.087
0.198,-1.322,-0.439,90.698,-95.947,230.957
0.176,-1.172,-0.330,92.896,-105.896,258.850
0.141,-1.004,-0.214,90.820,-113.708,284.302
0.094,-0.830,-0.123,85.693,-119.690,305.664
0.066,-0.687,-0.057,81.726,-122.375,323.120
-0.031,-0.547,0.024,80.322,-122.559,332.947
-0.073,-0.345,0.101,79.407,-121.521,337.708
-0.043,-0.180,0.165,81.116,-119.629,341.797
-0.045,-0.021,0.202,86.609,-117.859,341.309
-0.034,0.142,0.235,95.398,-117.615,339.478
-0.021,0.252,0.265,107.788,-118.774,337.036
-0.050,0.337,0.332,119.080,-121.826,333.435
-0.079,0.401,0.438,124.023,-124.878,328.308
-0.112,0.451,0.537,116.638,-125.122,321.472
-0.164,0.555,0.602,100.037,-121.216,312.805
